symbol,time,price,upperBand,lowerBand,bandWidth,rsi,upperSlope,realSlope,lowerSlope,upperI,realI,lowerI,action
FB,2020-05-13 00:58:14.195380,212.85000610351562,215.5807848819598,198.73321658288393,0.29349571189789875,63.52556636033509,1.6865777038485275,0.6064180971971198,0.5252209042766183,212.46905632540555,209.92402944991838,162.1341114903011,hold
BRK-B,2020-05-13 00:58:23.112658,174.08999633789062,187.06241638938184,169.94158446511034,0.1341833782424581,1.4105654337971458,-0.2780734143922795,0.1829843094099814,-0.7068221722193448,197.14957662856384,173.77164356744112,174.82593283279638,not in portfolio
DDOG,2020-05-13 00:58:31.497546,67.87000274658203,60.171408032171826,39.552591754205125,0.590424827295616,95.96934834600395,1.5558167377784458,2.9347761638128933,-0.4671003219176852,47.41071689798811,46.07462732115788,36.06347792190353,not in portfolio
AMZN,2020-05-13 00:58:39.705326,2389.02001953125,2442.2566535499263,2290.2253777000733,0.07462810235050793,47.530385583287476,-12.912223102055226,7.304095367887129,28.1859542995832,2523.4482725944986,2358.848581798041,2124.843322044611,hold
MSFT,2020-05-13 00:58:48.852875,184.95199584960938,186.78963026627923,175.8783690012989,0.11760864476387607,52.27205751739057,0.5736967655294825,0.49686750725134105,0.516698999632747,184.1952858928467,183.10977195625873,164.1337064896014,already in portfolio
WMT,2020-05-13 00:58:57.517259,124.92849731445312,124.58334058331063,121.4126585621972,0.1074838437399855,19.600661839049394,-0.050026367972059914,0.3844776438243354,0.020970735565852022,133.26894825954534,122.15746375695983,119.32215040059634,hold
XOM,2020-05-13 00:59:05.995794,44.64500045776367,46.18096287916202,42.586352794666105,0.19162523321589886,9.575318070419144,0.13371002566314977,0.23843813654202134,0.0166290781494525,46.24940934263303,43.60606401358078,38.68467671967021,hold
TTD,2020-05-13 00:59:15.252550,312.510009765625,322.0374525139278,283.57651843333787,0.5099434680446047,83.4246743027881,3.3049701298751786,-1.3214168263905084,2.3359924879135647,321.1501241156581,317.31596442834655,188.02897938265843,not in portfolio
PTON,2020-05-13 00:59:23.516840,46.93000030517578,46.27266074354391,29.82133873765726,0.5757390944561457,64.48523864834833,1.092392818648428,0.8956715598035218,-0.2716167461035886,38.419754630126114,40.46611865598764,26.808872179065233,hold
WORK,2020-05-13 00:59:32.088108,31.5049991607666,31.590203952852942,25.635796260770103,0.24745548903747566,53.5150762399311,0.3251044729525056,0.4994775715158948,0.0393283757928115,29.494373248439558,28.902462631908815,24.282514579761052,hold
